Interviewee ID,Recommender ID,Job Title applying to,Experience (Job),Experience (years),Skills Vouched for,Phrases,Recommender Job,Combined Text,Superlative Score,Normalized Superlative Score
454,450,,,,"extensive set, technical related aspects, opportunities, excellence, design, day, reductions, role, remarkable organizational skills, processing, privilege, ability, clinical staff, administrative tasks, regulations, smooth functions, collaborative atmosphere, innovative systems, operational effectiveness, pivotal role, career, workflows, Intern, constant support, office, deliverables, impressive career, proactive approach",,Mechanical Design Engineer Intern,"extensive set, technical related aspects, opportunities, excellence, design, day, reductions, role, remarkable organizational skills, processing, privilege, ability, clinical staff, administrative tasks, regulations, smooth functions, collaborative atmosphere, innovative systems, operational effectiveness, pivotal role, career, workflows, Intern, constant support, office, deliverables, impressive career, proactive approach ",0.7320754,0.47980052
454,285,,office management,13.0,"skills, dynamic organization, outstanding capacity, privilege, challenging role, crucial role, communication, regulations, commitment, organizations, systems, processes, financial operations, payroll, high standards, workplace, relations, expertise, effective communication, reduced expenses",,,"skills, dynamic organization, outstanding capacity, privilege, challenging role, crucial role, communication, regulations, commitment, organizations, systems, processes, financial operations, payroll, high standards, workplace, relations, expertise, effective communication, reduced expenses ",0.7281725,0.47980052
454,179,,,,"intricate records, opportunities, efficient approach, operational systems, professionals, operational costs, efficiency, compliance, communication, prowess, departments, numerous regulations, workflow, delivery, initiative, new system, processes, settings, operator, precision, regarded operator, recommendation, remarkable adaptability, operations, business, exceptional organizational skills, unique perspective",,,"intricate records, opportunities, efficient approach, operational systems, professionals, operational costs, efficiency, compliance, communication, prowess, departments, numerous regulations, workflow, delivery, initiative, new system, processes, settings, operator, precision, regarded operator, recommendation, remarkable adaptability, operations, business, exceptional organizational skills, unique perspective ",0.7286015,0.47980052
454,410,,,,"vendors, addition, problem-solving, policies, fields, confidentiality, high necessary standards, terms, various governmental regulations, expenses, compliance, ability, expertise, future role, capacity, person, environmental projects, organization, effective systems, financial processes, history, various stakeholders, doubt, complex regulations, exceptional organizational skills, projects",,Wildlife Conservation Consultant,"vendors, addition, problem-solving, policies, fields, confidentiality, high necessary standards, terms, various governmental regulations, expenses, compliance, ability, expertise, future role, capacity, person, environmental projects, organization, effective systems, financial processes, history, various stakeholders, doubt, complex regulations, exceptional organizational skills, projects ",0.7339915,0.47980052
454,476,,,,"administrative procedures, skills, design, illusion, related role, creative approach, exceptional interpersonal skills, creative vision, strategies, valuable asset, unique interplay, multifaceted candidate, advanced languages, logistics, supposed ability, rigorous operational tasks, unlikely blend, tenure, coding, misleading strategies, talents, classes, colleagues, manager, fitness, impressive expertise, diverse teams, planning",,valuable asset in any professional environment,"administrative procedures, skills, design, illusion, related role, creative approach, exceptional interpersonal skills, creative vision, strategies, valuable asset, unique interplay, multifaceted candidate, advanced languages, logistics, supposed ability, rigorous operational tasks, unlikely blend, tenure, coding, misleading strategies, talents, classes, colleagues, manager, fitness, impressive expertise, diverse teams, planning ",0.73899466,0.47980052
666,627,,,,"skilled professional, effective programs, turnover, strategic functions, solid foundation, policies, understanding, inclusive environments, employees, innovative strategies, exceptional capabilities, testament, leadership, compliance, ability, multiple resorts, time, practices, teamwork, asset, depth, analytical prowess, dramatic reductions, proven ability, culture, operations, training, organizational objectives, relations, implementation",,,"skilled professional, effective programs, turnover, strategic functions, solid foundation, policies, understanding, inclusive environments, employees, innovative strategies, exceptional capabilities, testament, leadership, compliance, ability, multiple resorts, time, practices, teamwork, asset, depth, analytical prowess, dramatic reductions, proven ability, culture, operations, training, organizational objectives, relations, implementation ",0.7352597,0.5229536
692,156,,,,"own efforts, remarkable contributions, exceptional skills, excellence, profound understanding, budgets, turnover, professional, immense value, practice, innovative strategies, team leadership, ability, future, commitment, teams, critical launches, financial analysis, productivity, operations management, organization, pleasure, further opportunities, decade, financial oversight, ratings, manager",,Finance Director with over a decade of experience,"own efforts, remarkable contributions, exceptional skills, excellence, profound understanding, budgets, turnover, professional, immense value, practice, innovative strategies, team leadership, ability, future, commitment, teams, critical launches, financial analysis, productivity, operations management, organization, pleasure, further opportunities, decade, financial oversight, ratings, manager ",0.73087335,0.41771412
692,884,,,,"diverse range, exceptional skills, combination, professional, role, operational efficiency, team leadership, ability, increase, expertise, time, teams, finance, fiscal acumen, productivity, significant improvements, operations management, financial operations, effective reorganization, successful completion, financial impacts, auditing, budgeting, financial oversight, dealers, audits, proactive approach, operational changes, performance",,Manager of Finance with extensive experience in financial oversight and analysis,"diverse range, exceptional skills, combination, professional, role, operational efficiency, team leadership, ability, increase, expertise, time, teams, finance, fiscal acumen, productivity, significant improvements, operations management, financial operations, effective reorganization, successful completion, financial impacts, auditing, budgeting, financial oversight, dealers, audits, proactive approach, operational changes, performance ",0.72553766,0.41771412
498,109,,,,"division, excellence, professional, complex dynamics, suppliers, significant growth, role, exceptional experiences, goals, collaboration, commitment, sector, base, programs, national functions, outstanding skills, effective strategies, organization, strategic foresight, various segments, remarkable ability, opportunity, impressive margins, training, Accountant, sales, consultative tactics, performance",,Principal Accountant,"division, excellence, professional, complex dynamics, suppliers, significant growth, role, exceptional experiences, goals, collaboration, commitment, sector, base, programs, national functions, outstanding skills, effective strategies, organization, strategic foresight, various segments, remarkable ability, opportunity, impressive margins, training, Accountant, sales, consultative tactics, performance ",0.7280966,0.4646277
498,555,,,,"Manager, skills, industry, greater heights, proven record, role, remarkable increases, services, ability, goals, tenure, sector, strategic partnerships, approaches, organization, same industry, engagement, operations, sales, training, doubt, exceptional leadership, national growth, performance",proven track record,Manager in the Field and witnessed exceptional leadership and dedication,"Manager, skills, industry, greater heights, proven record, role, remarkable increases, services, ability, goals, tenure, sector, strategic partnerships, approaches, organization, same industry, engagement, operations, sales, training, doubt, exceptional leadership, national growth, performance proven track record",0.72471774,0.4646277
498,538,,,,"competitive landscape, comprehensive necessary knowledge, innovation, division, industry, budgets, impressive growth, role, exceptional capabilities, leadership, ability, goals, complex environments, teams, collaborations, traditional functions, experiences, organization, remarkable talent, training, sales, strategic acumen, development",results-driven,Business Process Analyst,"competitive landscape, comprehensive necessary knowledge, innovation, division, industry, budgets, impressive growth, role, exceptional capabilities, leadership, ability, goals, complex environments, teams, collaborations, traditional functions, experiences, organization, remarkable talent, training, sales, strategic acumen, development results-driven",0.74123585,0.4646277
834,736,,,,"significant contributions, strong organizational skills, industry, combination, effective programs, related role, role, personalized programs, ability, engaging workouts, coach, dedicated intern, academic knowledge, commitment, expectations, internship, feedback, career, various levels, progress, health, tremendous asset, increased retention, training, doubt, future endeavors, fitness, expertise",,fitness coach and group fitness instructor,"significant contributions, strong organizational skills, industry, combination, effective programs, related role, role, personalized programs, ability, engaging workouts, coach, dedicated intern, academic knowledge, commitment, expectations, internship, feedback, career, various levels, progress, health, tremendous asset, increased retention, training, doubt, future endeavors, fitness, expertise ",0.7258655,0.33122832
834,355,,,,"intern, strong skills, skills, corporate wellness, Science, opportunities, sessions, community, offerings, passion, ability, communication, solid educational foundation, goals, commitment, various innovative programs, leader, others, programs, customer service, instructor, yoga, promise, challenges, training, extensive career, professional career, fitness, mentor",,group fitness instructor,"intern, strong skills, skills, corporate wellness, Science, opportunities, sessions, community, offerings, passion, ability, communication, solid educational foundation, goals, commitment, various innovative programs, leader, others, programs, customer service, instructor, yoga, promise, challenges, training, extensive career, professional career, fitness, mentor ",0.7081524,0.33122832
834,408,,,,"intern, diverse programs, sessions, design, solid foundation, candidate, innovative routines, own role, efforts, role, great enthusiasm, leadership, exceptional understanding, ability, valuable asset, commitment, healthy lifestyles, trainer, levels, customer service, proven skills, organization, importance, challenges, training, classes, participants, assessments",,personal trainer intern,"intern, diverse programs, sessions, design, solid foundation, candidate, innovative routines, own role, efforts, role, great enthusiasm, leadership, exceptional understanding, ability, valuable asset, commitment, healthy lifestyles, trainer, levels, customer service, proven skills, organization, importance, challenges, training, classes, participants, assessments ",0.7330355,0.33122832
834,637,,,,"wellness, adaptive plans, comprehensive programs, strong organizational skills, awareness, design, diverse professionals, healthier lifestyles, passion, privilege, ability, communication, goals, commitment, sectors, trainer, athletic programs, teamwork, asset, colleague, keen insight, training, future endeavors, fitness",,,"wellness, adaptive plans, comprehensive programs, strong organizational skills, awareness, design, diverse professionals, healthier lifestyles, passion, privilege, ability, communication, goals, commitment, sectors, trainer, athletic programs, teamwork, asset, colleague, keen insight, training, future endeavors, fitness ",0.7225801,0.33122832
4,726,,,,"multiple medical groups, various locations, deadlines, detail, financial transactions, comprehensive functions, ability, financial statement, monthly financial statements, accounting, company, financial reporting, meticulous attention, organization, strong ethic, complex accounts, Accountant, tight deadlines, traits, offices, expertise",strong work ethic,Staff Accountant in a management company for doctor offices,"multiple medical groups, various locations, deadlines, detail, financial transactions, comprehensive functions, ability, financial statement, monthly financial statements, accounting, company, financial reporting, meticulous attention, organization, strong ethic, complex accounts, Accountant, tight deadlines, traits, offices, expertise strong work ethic",0.7269286,0.597065
4,977,,,,"multiple medical groups, exceptional solving skills, tremendous value, staff, detail, problem-solving, accountant, role, exceptional capabilities, financial statements, several budgets, accounts, stringent deadlines, advanced software, company, organization, substantial contribution, pressure, precision, importance, complex functions, doubt, strong ethic, remarkable attention",strong work ethic,,"multiple medical groups, exceptional solving skills, tremendous value, staff, detail, problem-solving, accountant, role, exceptional capabilities, financial statements, several budgets, accounts, stringent deadlines, advanced software, company, organization, substantial contribution, pressure, precision, importance, complex functions, doubt, strong ethic, remarkable attention strong work ethic",0.75427985,0.597065
4,543,,,,"multiple functions, strong interpersonal skills, role, team leadership, ability, objectives, various medical groups, sound financial making, software, commitment, financial sector, meticulous nature, customer service, organization, exceptional ability, precision, tremendous asset, sales, strong ethic, financial records, expertise",strong work ethic,Branch Banker III,"multiple functions, strong interpersonal skills, role, team leadership, ability, objectives, various medical groups, sound financial making, software, commitment, financial sector, meticulous nature, customer service, organization, exceptional ability, precision, tremendous asset, sales, strong ethic, financial records, expertise strong work ethic",0.7670161,0.597065
4,950,,,,"proficiency, staff, complexities, detail, accountant, successful career, future opportunities, role, several medical groups, keen analytical skills, regulations, multiple companies, meticulous approach, teamwork, accounting, career, financial operations, outstanding addition, pressure, training, trusted asset, strong attention, multiple budgets, capabilities, precise financial reporting, expertise",,,"proficiency, staff, complexities, detail, accountant, successful career, future opportunities, role, several medical groups, keen analytical skills, regulations, multiple companies, meticulous approach, teamwork, accounting, career, financial operations, outstanding addition, pressure, training, trusted asset, strong attention, multiple budgets, capabilities, precise financial reporting, expertise ",0.72419333,0.597065
4,763,,,,"complex financial functions, experienced accountant, multiple medical groups, strong organizational skills, professional, multiple priorities, time management, role, diverse sources, financial statements, accounts, compliance, output, communication, ethic, detailed financial responsibilities, various processes, accounting, extensive knowledge, analytical prowess, pleasure, financial operations, pressure",,Staff Accountant at Cypress Healthcare Partners,"complex financial functions, experienced accountant, multiple medical groups, strong organizational skills, professional, multiple priorities, time management, role, diverse sources, financial statements, accounts, compliance, output, communication, ethic, detailed financial responsibilities, various processes, accounting, extensive knowledge, analytical prowess, pleasure, financial operations, pressure ",0.7350266,0.597065
4,30,,,,"skilled accountant, multiple medical groups, project management, strong organizational skills, opportunities, complex related financial tasks, detail, complex projects, role, managers, accounts, financial concerns, unwavering ethic, monthly financial reporting, high standard, financial accuracy, meticulous attention, natural leader, pleasure, pressure, Accountant, colleagues, diverse functions, expertise",natural leader,Project Accountant with extensive experience in managing complex construction-related financial tasks,"skilled accountant, multiple medical groups, project management, strong organizational skills, opportunities, complex related financial tasks, detail, complex projects, role, managers, accounts, financial concerns, unwavering ethic, monthly financial reporting, high standard, financial accuracy, meticulous attention, natural leader, pleasure, pressure, Accountant, colleagues, diverse functions, expertise natural leader",0.7440537,0.597065
4,589,,,,"different financial environments, junior staff, skills, multi - faceted projects, detail, own role, role, skill, accounts, ability, communication, diligent player, experienced Accountant, attention, financial reporting, accounting, career, external agenciesqualities, pressure, complex functions, budgeting, multiple budgets, advanced proficiency, accuracy, capabilities, effective communication",,Staff Accountant are quite evident,"different financial environments, junior staff, skills, multi - faceted projects, detail, own role, role, skill, accounts, ability, communication, diligent player, experienced Accountant, attention, financial reporting, accounting, career, external agenciesqualities, pressure, complex functions, budgeting, multiple budgets, advanced proficiency, accuracy, capabilities, effective communication ",0.7300938,0.597065
695,491,,,,"few, diverse groups, planner, care, industry, positive change, paths, versatility, major firms, various professionals, ability, consultant, asset, delivery, breadth, international teams, organization, complex regulatory frameworks, training, innovative mindset, knowledge",,consultant for major healthcare firms showcases her ability to navigate complex regulatory frameworks while maintaining a focus on patient care and operational excellence,"few, diverse groups, planner, care, industry, positive change, paths, versatility, major firms, various professionals, ability, consultant, asset, delivery, breadth, international teams, organization, complex regulatory frameworks, training, innovative mindset, knowledge ",0.71741265,0.474852
695,967,,,,"exceptional communication, exceptional skills, comprehensive programs, same passion, understanding, remarkable professional, regulatory standards, ability, communication, diverse populations, many successful initiatives, strategic planning, coordination, organization, culture, landscape, methodologies, training, extensive career, complex situations, unparalleled expertise",,Healthcare Marketing Specialist,"exceptional communication, exceptional skills, comprehensive programs, same passion, understanding, remarkable professional, regulatory standards, ability, communication, diverse populations, many successful initiatives, strategic planning, coordination, organization, culture, landscape, methodologies, training, extensive career, complex situations, unparalleled expertise ",0.7447839,0.474852
695,210,,,,"role, contributions, technology, compliance, several projects, ability, technical frameworks, commitment, lifecycles, programs, processes, seamless integration, pleasure, applications, deep understanding, interdisciplinary projects, training, remarkable flexibility, complex regulations, healthcare, extensive expertise, technical requirements, future endeavors, diverse teams, gap",,Software Engineer focused on banking applications,"role, contributions, technology, compliance, several projects, ability, technical frameworks, commitment, lifecycles, programs, processes, seamless integration, pleasure, applications, deep understanding, interdisciplinary projects, training, remarkable flexibility, complex regulations, healthcare, extensive expertise, technical requirements, future endeavors, diverse teams, gap ",0.73390996,0.474852
661,422,,,,"professional growth, functions, significance, onboarding, Consultant, effective operations, role, paperwork, efficiency, strong analytical skills, complex data, resources, systems, fellow professional, checks, organization, opportunity, multiple platforms, future endeavors, technical necessary proficiency, proactive approach, expertise",,fellow HR professional,"professional growth, functions, significance, onboarding, Consultant, effective operations, role, paperwork, efficiency, strong analytical skills, complex data, resources, systems, fellow professional, checks, organization, opportunity, multiple platforms, future endeavors, technical necessary proficiency, proactive approach, expertise ",0.7273306,0.29614758
661,20,,,,"human resources, tools, large volumes, onboarding, smooth transition, contributions, efficiency, multiple locations, ability, new employees, technical prowess, essential documentation, initiative, processes, checks, organization, pleasure, volumes, operations",,Senior HR Manager,"human resources, tools, large volumes, onboarding, smooth transition, contributions, efficiency, multiple locations, ability, new employees, technical prowess, essential documentation, initiative, processes, checks, organization, pleasure, volumes, operations ",0.7159889,0.29614758
661,571,,,,"proficiency, exceptional skills, functions, onboarding, leadership, paperwork, efficiency, compliance, multiple locations, ability, communication, support, organizational skills, strong foundation, contribution, checks, advanced functions, volumes, complex requirements, doubt, records, future endeavors, expertise",,,"proficiency, exceptional skills, functions, onboarding, leadership, paperwork, efficiency, compliance, multiple locations, ability, communication, support, organizational skills, strong foundation, contribution, checks, advanced functions, volumes, complex requirements, doubt, records, future endeavors, expertise ",0.7211458,0.29614758
661,891,,,,"proficiency, various functions, detail, onboarding, role, senior personnel, paperwork, efficient onboarding, experienced Consultant, ability, commitment, organizations, systems, modern department, critical importance, processes, robust record, checks, areas, engagement, culture, technical expertise, companies, capabilities, remarkable attention",,,"proficiency, various functions, detail, onboarding, role, senior personnel, paperwork, efficient onboarding, experienced Consultant, ability, commitment, organizations, systems, modern department, critical importance, processes, robust record, checks, areas, engagement, culture, technical expertise, companies, capabilities, remarkable attention ",0.7157622,0.29614758
453,855,,,,"strong capability, backgrounds, project management, industry, personnel, excellence, downtime, complex projects, ability, unparalleled technical expertise, environments, collaboration, commitment, engineer, teams, systems, standards, safety, importance, operations, thorough technical documentation, future endeavors, significant operational improvements, projects, such talent",,,"strong capability, backgrounds, project management, industry, personnel, excellence, downtime, complex projects, ability, unparalleled technical expertise, environments, collaboration, commitment, engineer, teams, systems, standards, safety, importance, operations, thorough technical documentation, future endeavors, significant operational improvements, projects, such talent ",0.73228997,0.478649
205,426,,,,"proficiency, comprehensive financial insights, junior staff, adherence, combination, budgets, detail, mentor, transition, leadership, contributions, complex financial reporting, range, communication, receivable accounts, expertise, software, financial analysis, processes, organizational efficiency, dedicated member, financial operations, areas, analysis, training, development, standards, best practices",,mentor has greatly benefited the team,"proficiency, comprehensive financial insights, junior staff, adherence, combination, budgets, detail, mentor, transition, leadership, contributions, complex financial reporting, range, communication, receivable accounts, expertise, software, financial analysis, processes, organizational efficiency, dedicated member, financial operations, areas, analysis, training, development, standards, best practices ",0.71835387,0.31520098
205,629,,,,"multiple projects, fiscal procedures, sphere, role, ability, communication, insight, teams, Clerk, adept professional, processes, career, organization, pleasure, impressive skills, complex accounts, superior organizational skills, operations, reconciliations, decade, accuracy, substantial expertise",,Staff Accountant,"multiple projects, fiscal procedures, sphere, role, ability, communication, insight, teams, Clerk, adept professional, processes, career, organization, pleasure, impressive skills, complex accounts, superior organizational skills, operations, reconciliations, decade, accuracy, substantial expertise ",0.7187578,0.31520098
205,47,,,,"proficiency, high level, skills, excellence, accountant, payable accounts, ability, monthly forecasts, principles, accountants, new employees, wealth, professional endeavors, strong foundation, oriented approach, detailed financial reports, accounting, organization, accurate maintenance, financial oversight, recognition, financial records, various grants, knowledge",,,"proficiency, high level, skills, excellence, accountant, payable accounts, ability, monthly forecasts, principles, accountants, new employees, wealth, professional endeavors, strong foundation, oriented approach, detailed financial reports, accounting, organization, accurate maintenance, financial oversight, recognition, financial records, various grants, knowledge ",0.7268905,0.31520098
668,585,,,,"positive atmosphere, industry, values, personal trainer, addition, experienced professional, initiatives, energetic approach, marketing, healthier lifestyles, impressive capabilities, ability, remarkable skills, commitment, entrepreneurial spirit, pleasure, engagement, hands operations, loyalty, opportunity, sales, training, decade, fellow instructor, fitness, business",,personal trainer for over a decade,"positive atmosphere, industry, values, personal trainer, addition, experienced professional, initiatives, energetic approach, marketing, healthier lifestyles, impressive capabilities, ability, remarkable skills, commitment, entrepreneurial spirit, pleasure, engagement, hands operations, loyalty, opportunity, sales, training, decade, fellow instructor, fitness, business ",0.7228829,0.52960235
668,528,,,,"exceptional skills, connection, industry, negotiations, remarkable instructor, personalized instruction, proven record, realm, marketing, privilege, strategies, engaging workouts, excellent operational skills, commitment, successful stand business, solid talent, asset, instructor, entrepreneurial spirit, Such capabilities, organization, operator, various levels, health, sales, participants",proven track record,,"exceptional skills, connection, industry, negotiations, remarkable instructor, personalized instruction, proven record, realm, marketing, privilege, strategies, engaging workouts, excellent operational skills, commitment, successful stand business, solid talent, asset, instructor, entrepreneurial spirit, Such capabilities, organization, operator, various levels, health, sales, participants proven track record",0.7485279,0.52960235
802,384,,,,"experienced accountant, problem-solving, detail, accurate reporting, proven record, various facets, remarkable professional, impressive capabilities, contributions, efficiency, strategic analysis, financial statements, endeavors, communication, analytical acumen, regulations, finance, teams, oriented approach, financial reporting, company, pleasure, gaps, multiple organizations, volumes, payroll, bilingual capabilities, outstanding professional, financial functions",proven track record,,"experienced accountant, problem-solving, detail, accurate reporting, proven record, various facets, remarkable professional, impressive capabilities, contributions, efficiency, strategic analysis, financial statements, endeavors, communication, analytical acumen, regulations, finance, teams, oriented approach, financial reporting, company, pleasure, gaps, multiple organizations, volumes, payroll, bilingual capabilities, outstanding professional, financial functions proven track record",0.73298883,0.47702083
802,30,,,,"multiple projects, skills, excellence, professionalism, detail, exceptional results, qualities, context, smooth financial operations, role, outstanding accountant, various professionals, substantial company, expertise, finance, analytical mindset, accounting, financial reporting, career, organization, pleasure, significant projects, profitability, Accountant, financial functions, valuable insights",,Project Accountant,"multiple projects, skills, excellence, professionalism, detail, exceptional results, qualities, context, smooth financial operations, role, outstanding accountant, various professionals, substantial company, expertise, finance, analytical mindset, accounting, financial reporting, career, organization, pleasure, significant projects, profitability, Accountant, financial functions, valuable insights ",0.72745305,0.47702083
802,428,,,,"internal controls, skills, opportunities, excellence, professional, accountant, strong capacity, remarkable professional, role, compliance, ability, financial regulations, complex data, operational improvements, exceptional financial acumen, strategic planning, financial strategies, financial reports, financial reporting, nature, table, organization, decade, key asset, competent accountant, impressive blend",,key asset to any team seeking excellence in financial management,"internal controls, skills, opportunities, excellence, professional, accountant, strong capacity, remarkable professional, role, compliance, ability, financial regulations, complex data, operational improvements, exceptional financial acumen, strategic planning, financial strategies, financial reports, financial reporting, nature, table, organization, decade, key asset, competent accountant, impressive blend ",0.7361007,0.47702083
